2019-04-17 11:31:03.8097 | INFO |    FTPHRIS.Program | 開始建立抓取 FTP bat & txt 

2019-04-17 11:31:03.9651 | INFO |    FTPHRIS.Program | 執行批次，fileName=bat-20190417_FTPHRIS.bat, 執行目錄：C:\Users\B0561\Desktop\FTPHRIS\FTPHRIS\bin\Debug\Bat\20190417 

2019-04-17 11:31:03.9852 | INFO |    FTPHRIS.Program | 檔案夾內無資料! 

2019-04-17 11:31:03.9962 | INFO |    FTPHRIS.Program | 資料匯入DB失敗 

2019-04-17 11:31:44.8436 | INFO |    FTPHRIS.Program | 開始建立抓取 FTP bat & txt 

2019-04-17 11:31:44.9188 | INFO |    FTPHRIS.Program | 執行批次，fileName=bat-20190417_FTPHRIS.bat, 執行目錄：C:\Users\B0561\Desktop\FTPHRIS\FTPHRIS\bin\Debug\Bat\20190417 

2019-04-17 11:31:44.9359 | INFO |    FTPHRIS.Program | C:\Users\B0561\Desktop\FTPHRIS\FTPHRIS\bin\Debug\FTPDL\20190417\HRIS_BGDEPT.v1.2.20190223 

2019-04-17 11:31:47.9423 | INFO |    FTPHRIS.Program | C:\Users\B0561\Desktop\FTPHRIS\FTPHRIS\bin\Debug\FTPDL\20190417\HRIS_BUDEPT.v1.2.20190223 

2019-04-17 11:32:58.1261 | INFO |    FTPHRIS.Program | C:\Users\B0561\Desktop\FTPHRIS\FTPHRIS\bin\Debug\FTPDL\20190417\HRIS_EMP_SEC.v1.2.20190223 

2019-04-17 11:35:28.7582 | INFO |    FTPHRIS.Program | C:\Users\B0561\Desktop\FTPHRIS\FTPHRIS\bin\Debug\FTPDL\20190417\HRIS_TITLE.v1.2.20190223 

2019-04-17 11:35:37.3625 | INFO |    FTPHRIS.Program | C:\Users\B0561\Desktop\FTPHRIS\FTPHRIS\bin\Debug\FTPDL\20190417\LFlow_HRIS_EMP.20190223 

2019-04-17 11:38:09.5439 | INFO |    FTPHRIS.Program | FTPHRIS 執行成功 

