2019-04-30 10:21:43.3536 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:27:04.8498 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:48:30.1366 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:48:38.3619 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:59379 

2019-04-30 10:48:38.3619 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:48:38.3719 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 

2019-04-30 10:48:40.9882 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:59382 

2019-04-30 10:48:41.0202 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 

2019-04-30 10:48:41.1145 | INFO |    ConsoleApplication1.Program | System.NullReferenceException: 並未將物件參考設定為物件的執行個體。
   於 ConsoleApplication1.Program.CustomerSocket.MainTask(Object sender, ElapsedEventArgs args) 於 C:\Users\B0561\Desktop\新增資料夾\ConsoleApplication1\ConsoleApplication1\Program.cs: 行 130 

2019-04-30 10:48:42.1265 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:48:43.5807 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:59383 

2019-04-30 10:48:43.6028 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:48:43.6128 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 

2019-04-30 10:48:46.1649 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:59384 

2019-04-30 10:48:46.2360 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 

2019-04-30 10:48:46.2360 | INFO |    ConsoleApplication1.Program | System.NullReferenceException: 並未將物件參考設定為物件的執行個體。
   於 ConsoleApplication1.Program.CustomerSocket.MainTask(Object sender, ElapsedEventArgs args) 於 C:\Users\B0561\Desktop\新增資料夾\ConsoleApplication1\ConsoleApplication1\Program.cs: 行 130 

2019-04-30 10:48:47.2752 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:48:47.9979 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:59385 

2019-04-30 10:48:47.9979 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:48:48.0110 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 

2019-04-30 10:48:50.2210 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:59386 

2019-04-30 10:48:50.2441 | INFO |    ConsoleApplication1.Program | System.NullReferenceException: 並未將物件參考設定為物件的執行個體。
   於 ConsoleApplication1.Program.CustomerSocket.MainTask(Object sender, ElapsedEventArgs args) 於 C:\Users\B0561\Desktop\新增資料夾\ConsoleApplication1\ConsoleApplication1\Program.cs: 行 130 

2019-04-30 10:48:50.2461 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 

2019-04-30 10:48:51.2644 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:48:52.5872 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:59387 

2019-04-30 10:48:52.5972 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 10:48:52.5972 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 

2019-04-30 11:08:37.7805 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 11:08:51.5311 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:63271 

2019-04-30 11:08:53.4936 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 11:08:53.4936 | INFO |    ConsoleApplication1.Program | Text received : This is a test<EOF> 

2019-04-30 11:10:40.5372 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

2019-04-30 11:10:47.0539 | INFO |    ConsoleApplication1.Program | Client End Point = [fe80::659e:de81:17ec:eff6%17]:63328 

2019-04-30 11:10:47.0640 | INFO |    ConsoleApplication1.Program | Waiting for a connection... 

