格式代號,稅籍編號,流水號,資料所屬年月,買受人統編/發票迄號,銷售人統編,發票起號,銷售金額,課稅別,營業稅額,扣抵代號,空白,特種稅額稅率,彙加註記,通關方式註記,發票日期,載具類別,載具號碼
25,111740240,0000001,10701,27935073,13618920,ZL28872756,000000001010,1,0000000050,1,,,,,20180118,,
25,111740240,0000002,10701,27935073,37655276,ZL34890653,000000000667,1,0000000033,1,,,,,20180118,,
25,111740240,0000003,10701,27935073,28497213,ZQ17062290,000000001281,1,0000000064,1,,,,,20180118,,
25,111740240,0000004,10701,27935073,39927274,ZQ71197960,000000001333,1,0000000067,1,,,,,20180118,,
25,111740240,0000005,10701,27935073,54797320,ZS35610564,000000001871,1,0000000094,1,,,,,20180118,,
25,111740240,0000006,10701,27935073,89412005,ZT26875907,000000000545,1,0000000027,1,,,,,20180118,,
25,111740240,0000007,10701,27935073,53014334,AA97578173,000000000067,1,0000000003,1,,,,,20180118,,
25,111740240,0000008,10701,27935073,53650143,AB13489290,000000000100,1,0000000005,1,,,,,20180118,,
25,111740240,0000009,10701,27935073,28975191,AB27010289,000000000502,1,0000000025,1,,,,,20180118,,
25,111740240,0000010,10701,27935073,10937029,AB61294228,000000000036,1,0000000002,1,,,,,20180118,,
25,111740240,0000011,10701,27935073,10937029,AB61294228,000000000020,3,0000000000,1,,,,,20180118,,
25,111740240,0000012,10701,27935073,16632306,AC46427062,000000000223,1,0000000011,1,,,,,20180118,,
25,111740240,0000013,10701,27935073,53008699,AD95683589,000000002390,1,0000000120,1,,,,,20180118,,
25,111740240,0000014,10701,27935073,24797626,AE86958293,000000000527,1,0000000026,1,,,,,20180118,,
25,111740240,0000015,10701,27935073,80544743,AE87475989,000000000141,1,0000000007,1,,,,,20180118,,
25,111740240,0000016,10701,27935073,80544743,AE87475989,000000000173,3,0000000000,1,,,,,20180118,,
25,111740240,0000017,10701,27935073,70781268,AF27714350,000000000482,1,0000000024,1,,,,,20180118,,
25,111740240,0000018,10701,27935073,28994280,AF33839278,000000000079,1,0000000004,1,,,,,20180118,,
25,111740240,0000019,10701,27935073,53659833,AF35355446,000000000589,1,0000000029,1,,,,,20180118,,
25,111740240,0000020,10701,27935073,24802254,AF49139706,000000000447,1,0000000022,1,,,,,20180118,,
25,111740240,0000021,10701,27935073,97160349,AG09680497,000000000103,1,0000000005,1,,,,,20180118,,
25,111740240,0000022,10701,27935073,28412221,AG18282651,000000000053,1,0000000003,1,,,,,20180118,,
25,111740240,0000023,10701,27935073,38950590,AG24321653,000000000227,1,0000000011,1,,,,,20180118,,
25,111740240,0000024,10701,27935073,27940738,AG87522963,000000000105,1,0000000005,1,,,,,20180118,,
25,111740240,0000025,10701,27935073,24922835,AJ22595521,000000000176,1,0000000009,1,,,,,20180118,,
25,111740240,0000026,10701,27935073,36692647,AJ32948066,000000000457,1,0000000023,1,,,,,20180118,,
25,111740240,0000027,10701,27935073,72762040,AJ47024484,000000000545,1,0000000027,1,,,,,20180118,,
25,111740240,0000028,10701,27935073,80814730,AJ49642155,000000000747,1,0000000037,1,,,,,20180118,,
25,111740240,0000029,10701,27935073,28468548,AK46725535,000000001676,1,0000000084,1,,,,,20180118,EJ0117,10612BB21728239145557
25,111740240,0000030,10701,27935073,28468548,AK46725536,000000000324,1,0000000016,1,,,,,20180118,EJ0117,10701BB11796228145557
25,111740240,0000031,10701,27935073,28468548,AK46725540,000000000008,1,0000000000,1,,,,,20180118,EJ0117,10701BB11784522057120
25,111740240,0000032,10701,27935073,28468548,AK46725551,000000000130,1,0000000006,1,,,,,20180118,EJ0117,10701BB11785589732717
25,111740240,0000033,10701,27935073,28468548,AK46725614,000000001027,1,0000000051,1,,,,,20180118,EJ0117,10701BB11794873370772
25,111740240,0000034,10701,27935073,28468548,AK46725615,000000001490,1,0000000075,1,,,,,20180118,EJ0117,10701BB11794874370941
25,111740240,0000035,10701,27935073,28468548,AK46725616,000000001020,1,0000000051,1,,,,,20180118,EJ0117,10701BB11794871370585
25,111740240,0000036,10701,27935073,28468548,AK46725617,000000004378,1,0000000219,1,,,,,20180118,EJ0117,10701BB11794872370763
25,111740240,0000037,10701,27935073,28468548,AK46725634,000000000763,1,0000000038,1,,,,,20180118,EJ0117,10701BB11797025516010
25,111740240,0000038,10701,27935073,28468548,AK46725635,000000001312,1,0000000066,1,,,,,20180118,EJ0117,10701BB11794768076948
25,111740240,0000039,10701,27935073,28468548,AK46725771,000000000041,1,0000000002,1,,,,,20180118,EJ0117,10701BB11798660956354
25,111740240,0000040,10701,27935073,28468548,AK46725774,000000000764,1,0000000038,1,,,,,20180118,EJ0117,10701BB11798595944309
25,111740240,0000041,10701,27935073,28468548,AK46725777,000000000898,1,0000000045,1,,,,,20180118,EJ0117,10701BB11797264579160
25,111740240,0000042,10701,27935073,28468548,AK46725780,000000001291,1,0000000065,1,,,,,20180118,EJ0117,10701BB11797263578994
25,111740240,0000043,10701,27935073,28468548,AK46725781,000000001710,1,0000000086,1,,,,,20180118,EJ0117,10701BB11797266579964
25,111740240,0000044,10701,27935073,28468548,AK46725820,000000001228,1,0000000061,1,,,,,20180118,EJ0117,10701BB11793738317553
25,111740240,0000045,10701,27935073,28468548,AK46725821,000000001598,1,0000000080,1,,,,,20180118,EJ0117,10701BB11797171545673
25,111740240,0000046,10701,27935073,28468548,AK46725843,000000000726,1,0000000036,1,,,,,20180118,EJ0117,10701BB11797859756765
25,111740240,0000047,10701,27935073,28468548,AK46725857,000000000029,1,0000000001,1,,,,,20180118,EJ0117,10701BB11786928514716
25,111740240,0000048,10701,27935073,28468548,AK46725863,000000002692,1,0000000135,1,,,,,20180118,EJ0117,10701BB11797529644706
25,111740240,0000049,10701,27935073,28468548,AK46725869,000000000175,1,0000000009,1,,,,,20180118,EJ0117,10701BB11797860756907
25,111740240,0000050,10701,27935073,28468548,AK46725884,000000000864,1,0000000043,1,,,,,20180118,EJ0117,10701BB11797934776169
25,111740240,0000051,10701,27935073,28468548,AK46725895,000000000670,1,0000000034,1,,,,,20180118,EJ0117,10701BB11797856756470
25,111740240,0000052,10701,27935073,28468548,AK46725897,000000001487,1,0000000074,1,,,,,20180118,EJ0117,10701BB11790933604080
25,111740240,0000053,10701,27935073,28468548,AK46725913,000000000972,1,0000000049,1,,,,,20180118,EJ0117,10701BB11797858756541
25,111740240,0000054,10701,27935073,27240313,AK93483786,000000000255,1,0000000013,1,,,,,20180118,,
25,111740240,0000055,10701,27935073,27240313,AK93483787,000000000048,1,0000000002,1,,,,,20180118,,
25,111740240,0000056,10701,27935073,53350379,ZE19516846,000000000091,1,0000000005,1,,,,,20180118,,
25,111740240,0000057,10701,27935073,53523935,ZE19698714,000000000113,1,0000000006,1,,,,,20180118,,
25,111740240,0000058,10701,27935073,95869304,ZE27936215,000000003309,1,0000000165,1,,,,,20180118,,
25,111740240,0000059,10701,27935073,42882960,ZE84059566,000000001110,1,0000000055,1,,,,,20180118,,
25,111740240,0000060,10701,27935073,11364230,ZF81315706,000000003789,1,0000000189,1,,,,,20180118,,
25,111740240,0000061,10701,27935073,42687299,ZF98185512,000000000110,1,0000000005,1,,,,,20180118,,
25,111740240,0000062,10701,27935073,47660777,ZF98925184,000000000333,1,0000000017,1,,,,,20180118,,
25,111740240,0000063,10701,27935073,37617549,ZH37626810,000000000516,1,0000000026,1,,,,,20180118,,
25,111740240,0000064,10701,27935073,45013022,ZK17425552,000000001131,1,0000000057,1,,,,,20180118,,
25,111740240,0000065,10701,27935073,49025534,ZK36616872,000000000476,1,0000000024,1,,,,,20180118,,
25,111740240,0000066,10701,27935073,49025534,ZK36619473,000000001603,1,0000000080,1,,,,,20180118,,
25,111740240,0000067,10701,27935073,09941881,ZL06311212,000000000348,1,0000000017,1,,,,,20180118,,
25,111740240,0000068,10701,27935073,54353959,ZL57674594,000000001728,1,0000000086,1,,,,,20180118,,
25,111740240,0000069,10701,27935073,97164252,ZP14861365,000000000929,1,0000000046,1,,,,,20180118,,
25,111740240,0000070,10701,27935073,80507661,ZP15680514,000000000171,1,0000000009,1,,,,,20180118,,
25,111740240,0000071,10701,27935073,80541302,ZP15938337,000000000681,1,0000000034,1,,,,,20180118,,
25,111740240,0000072,10701,27935073,28824201,ZP17506699,000000000900,1,0000000045,1,,,,,20180118,,
25,111740240,0000073,10701,27935073,28827777,ZP17555323,000000001143,1,0000000057,1,,,,,20180118,,
25,111740240,0000074,10701,27935073,29056642,ZP17792662,000000000295,1,0000000015,1,,,,,20180118,,
25,111740240,0000075,10701,27935073,24941832,ZP39616532,000000000371,1,0000000019,1,,,,,20180118,ES0011,51961
25,111740240,0000076,10701,27935073,25086829,ZP46872420,000000000724,1,0000000036,1,,,,,20180118,,
25,111740240,0000077,10701,27935073,26145467,ZP58674658,000000000103,1,0000000005,1,,,,,20180118,,
25,111740240,0000078,10701,27935073,26145467,ZP58674721,000000000137,1,0000000007,1,,,,,20180118,,
25,111740240,0000079,10701,27935073,27258328,ZP84923347,000000001440,1,0000000072,1,,,,,20180118,,
25,111740240,0000080,10701,27935073,27258328,ZP85409243,000000000416,1,0000000021,1,,,,,20180118,,
